Date,Close/Last,Volume,Open,High,Low
412.27,97582790,415.89,416.78,411.13,293
416.74,73276200,412.87,418.25,412.79,294
417.61,52182390,417.44,418.22,416.8111,295
417.52,51303060,417.93,418.14,416.3,296
417.4,51238850,417.81,419.01,416.9,297
420.06,78544330,420.32,420.72,416.44,298
417.3,85527030,417.63,418.54,416.34,299
418.2,68128290,419.43,419.84,417.665,300
415.62,101591200,416.07,416.6,411.67,301
415.75,39960660,417.38,417.63,415.15,302
419.07,74321370,415.83,419.21,413.675,303
422.12,67733790,419.89,422.815,419.16,304
417.94,81852450,422.5,422.74,417.81,305
414.21,116888000,413.1,415.27,410.06,306
405.41,134811000,411.23,412.59,404,307
410.28,106394000,407.07,412.35,407.02,308
416.58,82201630,413.21,417.49,413.18,309
415.52,64882410,415.39,416.39,413.36,310
411.94,59810240,415.8,416.06,411.77,311
410.86,106467100,406.92,411.05,405.33,312
415.28,78022220,411.8,416.625,411.67,313
414.94,76578660,416.87,418.2,414.45,314
419.17,51376700,417.34,420.32,417.08,315
418.24,57451400,420.33,420.71,417.62,316
419.07,43088620,418.87,419.61,417.76,317
419.29,56707680,420.17,420.72,418.9851,318
420.04,58520160,420.97,421.25,419.79,319
419.67,54216630,422.57,422.72,419.2,320
420.33,49097060,420.37,421.23,419.29,321
418.77,58138760,417.85,419.99,416.28,322
422.6,55938790,420.75,422.92,418.8422,323
422.19,51555030,422.59,422.78,421.19,324
422.28,47134280,423.11,423.21,420.32,325
421.65,48436340,423.18,423.26,421.41,326
423.61,51020150,422.96,424.63,421.55,327
424.31,45570830,424.2,424.43,422.82,328
425.26,42358480,424.43,425.37,423.1,329
424.48,51508510,425.42,425.46,423.54,330
422.11,80386080,424.63,424.87,419.92,331
421.97,90949660,421.67,423.02,419.32,332
414.92,118676300,417.09,417.8281,414.7,333
420.86,72822030,416.8,421.06,415.93,334
423.11,57700300,420.85,424,420.08,335
422.6,49445410,423.19,424.05,422.51,336
425.1,45110290,424.89,425.55,424.62,337
426.61,58129530,425.9,427.0943,425.55,338
427.47,53159580,427.17,427.65,425.89,339
427.7,35970520,427.88,428.56,427.13,340
428.06,64827860,427.21,428.78,427.18,341
430.43,53441030,428.87,430.6,428.8,342
433.72,57697670,431.67,434.1,430.5218,343
432.93,68710420,433.78,434.01,430.01,344
434.46,63549460,433.66,434.76,431.51,345
430.92,97595230,428.78,431.73,427.52,346
435.52,76238580,432.53,435.84,430.714,347
437.08,52889590,435.43,437.35,434.97,348
435.59,52911310,436.24,437.84,435.31,349
436.24,64130350,437.4,437.92,434.91,350
434.75,55126360,434.81,435.53,432.72,351
431.34,75874660,436.01,436.06,430.92,352
424.97,147987000,426.19,431.4089,421.97,353
431.06,99608170,425.68,432.42,424.83,354
434.55,64724390,432.34,434.7,431.0111,355
435.46,47878540,434.74,435.72,433.69,356
439.94,63766640,437.52,440.3,436.79,357
441.02,43719190,439.31,441.03,439.26,358
439.01,67397140,439.91,439.94,435.99,359
438.83,52472360,439.68,440.3,437.31,360
440.65,47435340,439.815,441.8,439.81,361
438.51,68951200,437.91,440.06,437.77,362
437.59,58783300,440.34,440.93,437.21,363
441.15,58053900,438.44,441.28,436.1,364
438.98,46732210,439.78,441.1243,438.73,365
441.76,38969660,440.22,441.85,439.88,366
442.49,46930010,442.1,442.94,441.8,367
442.13,41222590,442.46,442.795,441.31,368
442.68,43339280,442.61,443.44,441.88,369
443.78,44034340,443.82,443.882,442.62,370
445.11,38942420,443.62,445.2572,442.66,371
445.92,39470250,445.59,445.94,445.07,372
446.97,73930860,444.53,447.11,442.87,373
444.04,92673930,444.24,444.96,440.85,374
439.18,89351930,442.96,444.625,438.92,375
439.86,92812250,436.27,441.14,436.12,376
443.36,72008710,440.23,443.71,439.71,377
447.26,54973040,445.16,448.23,443.4355,378
447.97,38744710,447.97,448.54,447.42,379
448.91,40529710,448.17,449.457,447.77,380
446.26,57829570,448.61,448.86,446.16,381
450.25,77235110,447.12,450.65,447.06,382
452.23,48357360,450.97,453.07,450.71,383
451.56,59300210,452.13,452.49,450.92,384
451.8,48721380,452.56,453.11,451.545,385
453.19,42830870,453.32,454.05,451.91,386
453.08,47234360,451.98,453.63,451.55,387
451.46,51671530,452.71,452.81,450.7423,388
450.91,56181910,450.89,451.67,448.86,389
448.98,57970410,450.7,452.57,448.72,390
445.44,89948170,451.04,451.49,445.31,391
446.58,83738650,448.64,448.92,444.11,392
444.17,78197140,448.12,448.34,443.22,393
447.88,78792220,444.62,448.41,443.44,394
447.17,77786740,447.32,448.36,444.02,395
441.4,118425000,444.92,445.37,441.02,396
434.04,166445500,434.88,436.56,428.86,397
433.63,92526110,436.53,437.91,433.07,398
437.86,102350100,436.05,440.03,433.747,399
443.18,76395980,439.85,444.89,439.6,400
443.91,62094840,441.44,444.67,441.21,401
442.64,61371110,442.81,444.05,441.9,402
433.72,130436300,439.69,440.04,432.94,403
434.45,82329210,435.19,437.04,433.85,404
429.14,140506000,436.02,436.77,428.78,405
434.24,129240100,430.98,436.0329,427.23,406
428.64,128570000,433,433.96,426.36,407
433.1,90682520,430.24,435.49,429.39,408
434.9,113032200,429.27,435.1199,427.54,409
438.66,72437500,438.39,441.68,438.2,410
437.86,74557400,439.48,439.89,437.19,411
434.69,65233290,437.16,440.26,434.62,412
433.62,71181160,435.67,436.1,432.78,413
435.18,72973980,434.71,436.05,431.54,414
442.5,70236830,439.08,442.66,438.58,415
445.87,66260210,444.75,446.26,444.09,416
447.19,62213230,443.97,447.55,443.27,417
450.64,46996830,448.92,450.71,448.27,418
452.41,49571570,451.13,452.732,451.01,419
453.59,41305440,451.77,453.829,451.31,420
453.12,58845090,453.13,454.67,451.05,421
455.55,45214510,454.28,455.9,452.39,422
455.96,56075120,457.2,458.49,455.56,423
453.94,72438000,456.45,457.16,453.86,424
458.32,51437940,455.46,458.4,455.45,425
459.25,70162420,455.87,459.56,455.56,426
460.04,48433640,460.3,460.7021,458.2,427
461.9,48908420,460.22,462.23,460.08,428
464.72,52509830,461.3,465.15,460.83,429
466.91,52847090,465.36,467,464.99,430
468.53,66390560,469.28,470.65,466.92,431
468.93,50405190,469.7,470.23,468.2031,432
467.38,51149150,469.32,469.57,465.88,433
463.62,69429650,465.58,467.38,462.04,434
463.77,34848500,465.21,465.29,463.75,435
467.27,53466650,465.12,467.86,464.11,436
467.43,46980500,468.64,468.81,466.23,437
469.28,48857500,467.15,470.485,467.07,438
468.14,47858290,469,469.19,467.48,439
469.73,50625610,469.24,470.01,466.34,440
468.89,57315570,469.61,470.94,468.5,441
467.57,72761950,470.89,473.54,467.35,442
468.19,73206540,467.22,469.095,464.45,443
469.44,61858810,466.06,469.57,465.19,444
458.97,112669600,462.34,463.9,457.77,445
464.6,86268820,464.07,466.56,461.73,446
455.56,148559600,462,464.03,455.3,447
450.5,132485800,461.64,464.67,450.29,448
457.4,127637800,450.73,459.07,450.31,449
453.42,137331600,459.17,460.3,448.92,450
458.79,98977530,456.13,460.79,453.56,451
468.28,95484690,464.41,468.88,458.6546,452
469.52,72238780,468.7,470,466.83,453
466.35,61272570,468.15,469.6291,466.14,454
470.74,77159760,469.23,470.9,466.51,455
466.57,87724680,470.19,470.56,466.27,456
463.36,97264130,463.09,465.74,460.25,457
470.6,116899300,463.42,470.86,460.74,458
466.45,116568600,472.57,472.87,464.8,459
459.87,135636500,461.55,464.74,458.06,460
454.98,107134800,454.48,455.4,451.14,461
463.06,69806260,458.61,463.21,456.31,462
467.69,58890220,462.79,467.81,462.58,463
470.6,56439750,468.75,472.19,468.64,464
477.26,56808620,472.06,477.31,472.01,465
476.87,47274590,477.72,478.81,476.06,466
477.48,54502960,476.98,478.56,475.92,467
476.16,55329040,477.93,479,475.67,468
474.96,65237430,475.64,476.86,474.67,469
477.71,72668230,476.3,477.85,473.85,470
477.55,71178680,479.22,479.98,475.58,471
468.38,104538900,477.16,477.98,468.2801,472
467.94,86858900,467.89,470.82,465.43,473
466.09,85111590,467.95,469.2,464.65,474
465.51,119362000,462.7,465.74,456.5973,475
469.75,74303060,465.23,469.85,462.05,476
471.02,67605440,471.59,473.2,468.94,477
464.53,91173120,472.19,472.88,463.44,478
464.72,95890950,461.19,465.09,459.9,479
456.49,109872400,459.74,459.96,455.31,480
451.75,109357600,458.13,459.6124,451.46,481
446.75,122379700,453.75,458.74,444.5,482
437.98,202271200,445.56,448.06,437.95,483
439.84,252496700,432.03,440.38,420.76,484
434.47,167997300,433.06,439.72,427.15,485
433.38,186391100,440.72,444.04,428.86,486
431.24,149878300,438.26,441.59,429.45,487
441.95,164457400,432.68,442,427.82,488
449.91,152251400,441.24,450.28,439.81,489
452.95,123155400,450.68,453.63,446.9384,490
457.35,117361000,455.5,458.12,453.05,491
446.6,118024400,450.95,452.97,445.71,492
448.7,118454400,446.35,452.78,443.83,493
447.26,84472860,449.51,450.99,445.85,494
450.94,81012040,446.73,451.92,445.22,495
457.54,92589930,455.22,457.88,455.005,496
449.32,140103700,451.34,457.71,447.2,497
440.46,153214600,449.41,451.605,438.94,498
439.02,123006300,439.92,441.6,435.34,499
446.1,88659500,443.73,446.28,443.18,500
446.6,84863590,443.93,448.055,441.94,501
437.06,102259100,443.22,446.5652,436.42,502
434.23,132642900,437.33,438.66,431.82,503
429.57,124391800,431.89,435.5,425.86,504
421.95,132578000,432.66,433.26,421.35,505
428.3,213942900,411.02,428.76,410.64,506
437.75,121804500,429.61,437.84,427.86,507
